epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,49.02,1.22008,1.28198,0.98526,0.93967,0.74238,0.90293,0.66065,1.02999,1.08383,0.74528,0.0011882,0.0011882,0.0011882
43,50.03,1.16691,1.20579,0.94794,0.76807,0.85714,0.91188,0.6539,1.0216,1.10567,0.73874,0.0011684,0.0011684,0.0011684
44,51.0407,1.01615,1.11937,0.90286,0.94304,0.78906,0.94703,0.73534,0.925,0.95965,0.73229,0.0011486,0.0011486,0.0011486
45,52.0877,1.12411,1.04285,0.89321,0.90214,0.87857,0.9703,0.69597,0.97641,0.8968,0.73358,0.0011288,0.0011288,0.0011288
46,53.1307,1.11874,1.174,0.92965,0.90549,0.91277,0.97951,0.67401,1.03521,0.94491,0.73945,0.001109,0.001109,0.001109
47,54.2179,1.09054,1.08945,0.94548,0.90676,0.9267,0.98026,0.64639,1.1257,1.00911,0.74684,0.0010892,0.0010892,0.0010892
48,55.3452,0.97019,1.0941,0.91102,0.8948,0.95238,0.97414,0.63173,1.23998,0.95438,0.73717,0.0010694,0.0010694,0.0010694
49,56.4253,1.06911,1.01097,0.9675,0.86831,0.94233,0.94702,0.62334,1.17727,0.93739,0.7446,0.0010496,0.0010496,0.0010496
50,57.4299,1.06141,1.08332,0.91241,0.85037,0.90476,0.93839,0.58608,1.217,1.00244,0.75786,0.0010298,0.0010298,0.0010298
51,58.5378,1.03181,1.00593,0.9005,0.78459,0.95238,0.92747,0.55908,1.31983,1.05635,0.76671,0.00101,0.00101,0.00101
52,59.7595,1.12704,1.1514,0.91156,0.9387,0.90476,0.95299,0.66575,1.00598,0.83381,0.75214,0.0009902,0.0009902,0.0009902
53,60.7767,1.12277,1.0732,0.92244,0.90293,0.88648,0.94133,0.69343,1.02467,0.81688,0.74409,0.0009704,0.0009704,0.0009704
54,61.7199,0.82061,1.25491,0.72335,0.81532,0.84143,0.92528,0.65035,1.09827,0.86243,0.74697,0.0009506,0.0009506,0.0009506
55,62.6962,0.91111,0.9627,0.88962,0.98728,0.66667,0.89639,0.63173,1.08505,0.9136,0.74908,0.0009308,0.0009308,0.0009308
56,63.7547,1.06824,0.95334,0.88303,0.92955,0.7619,0.93789,0.65597,1.06671,0.87165,0.74919,0.000911,0.000911,0.000911
57,64.849,1.16885,1.07624,0.97117,0.83181,0.94236,0.94673,0.66231,0.99056,0.77802,0.74384,0.0008912,0.0008912,0.0008912
58,65.8587,1.04581,1.08031,0.93749,0.90345,0.89163,0.94675,0.6789,1.01224,0.78385,0.73715,0.0008714,0.0008714,0.0008714
59,66.9283,1.0015,0.94425,0.88009,0.9419,0.85714,0.9486,0.68295,1.01787,0.77995,0.73168,0.0008516,0.0008516,0.0008516
60,68.0045,0.73952,1.23122,0.74356,0.93983,0.85714,0.97129,0.66496,1.08461,0.75903,0.74105,0.0008318,0.0008318,0.0008318
61,68.9537,0.73278,1.1801,0.72812,0.88573,0.95238,0.97354,0.6843,1.07837,0.73882,0.73731,0.000812,0.000812,0.000812
62,70.0991,1.11982,0.96809,1.13568,0.89597,1,0.97546,0.69056,1.01451,0.72485,0.73577,0.0007922,0.0007922,0.0007922
63,71.1357,1.08352,0.97374,0.89598,0.90475,1,0.97283,0.68935,1.02286,0.72345,0.73718,0.0007724,0.0007724,0.0007724
64,72.2357,0.83185,0.91621,0.89654,0.90924,1,0.97809,0.70772,0.97263,0.74209,0.73066,0.0007526,0.0007526,0.0007526
65,73.2334,1.11712,0.97461,1.00128,0.90725,1,0.97546,0.71329,0.98652,0.72297,0.7318,0.0007328,0.0007328,0.0007328
66,74.2668,0.83466,0.84588,0.84564,0.90511,1,0.97546,0.69318,1.03309,0.70903,0.7351,0.000713,0.000713,0.000713
67,75.2844,0.99657,0.83372,0.8916,0.90489,1,0.97767,0.69865,1.04889,0.69264,0.73406,0.0006932,0.0006932,0.0006932
68,76.3987,1.00397,0.95001,0.86323,0.90496,1,0.97809,0.69055,0.9822,0.67589,0.73182,0.0006734,0.0006734,0.0006734
69,77.3721,0.85123,0.83979,0.8555,0.90261,1,0.97809,0.71227,0.95817,0.66737,0.7322,0.0006536,0.0006536,0.0006536
70,78.4083,0.96898,0.87165,0.93185,0.88682,1,0.97809,0.72278,0.95411,0.67054,0.73322,0.0006338,0.0006338,0.0006338
71,79.4197,0.83431,0.95044,0.9211,0.82557,1,0.96904,0.70303,0.91906,0.66648,0.73595,0.000614,0.000614,0.000614
72,80.572,1.22393,0.93643,1.35118,0.8717,0.97106,0.97276,0.70505,0.90072,0.66166,0.74234,0.0005942,0.0005942,0.0005942
73,81.6518,0.87422,0.97233,0.96557,0.86839,0.94298,0.96995,0.67983,0.93412,0.66379,0.73839,0.0005744,0.0005744,0.0005744
74,82.7191,0.9158,0.7969,0.85732,0.94912,0.88881,0.96819,0.69547,0.96559,0.64675,0.73967,0.0005546,0.0005546,0.0005546
75,83.8171,0.84996,0.83712,0.91649,0.93468,0.90476,0.96569,0.68542,0.99471,0.67553,0.73675,0.0005348,0.0005348,0.0005348
76,84.8994,0.92746,0.91895,0.92588,0.93971,0.90476,0.96879,0.72169,0.96948,0.71084,0.7354,0.000515,0.000515,0.000515
77,85.9869,0.88307,0.89842,0.91179,0.93919,0.90476,0.97129,0.73584,0.93866,0.69033,0.7362,0.0004952,0.0004952,0.0004952
78,87.0511,0.86532,0.80505,0.92827,0.9379,0.90476,0.97675,0.75263,0.91137,0.66199,0.73371,0.0004754,0.0004754,0.0004754
79,88.13,0.75249,0.86533,0.88151,0.90873,0.9484,0.97767,0.75315,0.92229,0.63171,0.73573,0.0004556,0.0004556,0.0004556
80,89.204,0.91915,0.75356,0.87522,0.91266,0.9954,0.98017,0.69574,1.01915,0.66057,0.74004,0.0004358,0.0004358,0.0004358
81,90.2241,0.97916,0.80832,0.85914,0.86562,1,0.97675,0.684,1.02457,0.66468,0.74172,0.000416,0.000416,0.000416
82,91.243,0.92858,1.20569,0.9943,0.86843,1,0.97675,0.69588,0.98834,0.66129,0.74122,0.0003962,0.0003962,0.0003962
83,92.274,0.80706,0.79029,0.82589,0.94443,0.90476,0.97675,0.74549,0.90727,0.63696,0.74045,0.0003764,0.0003764,0.0003764
84,93.4135,0.82491,0.81733,0.89366,0.94662,0.90476,0.97425,0.74801,0.89557,0.6,0.74017,0.0003566,0.0003566,0.0003566
85,94.5118,0.80364,0.72778,0.84278,0.87475,0.99779,0.96925,0.7478,0.91021,0.60081,0.73769,0.0003368,0.0003368,0.0003368
86,95.6313,0.8468,0.74574,0.85773,0.87435,1,0.97162,0.73763,0.90989,0.59675,0.73615,0.000317,0.000317,0.000317
87,96.6429,0.80126,0.74508,0.89045,0.87473,0.99763,0.97162,0.71375,0.92195,0.59143,0.73636,0.0002972,0.0002972,0.0002972
88,97.7119,0.91237,0.85531,0.83395,0.87447,0.99539,0.97162,0.72934,0.87744,0.56929,0.738,0.0002774,0.0002774,0.0002774
89,98.839,0.79045,0.69424,0.85505,0.87447,0.99536,0.97425,0.74102,0.8494,0.56408,0.73648,0.0002576,0.0002576,0.0002576
90,99.7957,0.61957,1.04111,0.67911,0.91277,0.99676,0.97767,0.76141,0.8379,0.56338,0.73495,0.0002378,0.0002378,0.0002378
91,119.457,0.84954,0.83927,0.83735,0.91146,1,0.97767,0.75618,0.83463,0.56514,0.73197,0.000218,0.000218,0.000218
92,120.575,0.81544,0.83191,0.81346,0.90695,1,0.97767,0.75354,0.83575,0.572,0.73093,0.0001982,0.0001982,0.0001982
93,121.634,0.83278,1.11168,0.8608,0.87024,1,0.97767,0.74365,0.83225,0.56255,0.73264,0.0001784,0.0001784,0.0001784
94,122.682,0.74026,0.82049,0.85199,0.94929,0.89192,0.97675,0.7439,0.86558,0.58219,0.7313,0.0001586,0.0001586,0.0001586
95,123.825,0.62522,0.77716,0.81693,0.86244,1,0.97425,0.73319,0.8668,0.58422,0.73261,0.0001388,0.0001388,0.0001388
96,125.032,0.73873,0.7734,0.81383,0.8608,1,0.97425,0.72385,0.88785,0.56442,0.73259,0.000119,0.000119,0.000119
97,126.331,0.67498,0.79999,0.82954,0.8633,1,0.97276,0.72975,0.8958,0.56441,0.73126,9.92e-05,9.92e-05,9.92e-05
98,127.619,0.69797,0.74353,0.82379,0.86475,1,0.97675,0.73386,0.89744,0.54914,0.73062,7.94e-05,7.94e-05,7.94e-05
99,128.86,0.71857,0.86046,0.83898,0.86577,1,0.97675,0.73658,0.89146,0.55619,0.72993,5.96e-05,5.96e-05,5.96e-05
100,130.18,0.76787,0.76925,0.8495,0.86662,1,0.97675,0.73995,0.88673,0.55048,0.72879,3.98e-05,3.98e-05,3.98e-05
